Model,Places,Transitions,Arcs
GPPP-PT-C0010N0000000010,33,22,83
GPPP-PT-C0010N0000000100,33,22,83
GPPP-PT-C0010N1000000000,33,22,83
GPPP-PT-C0100N0000000010,33,22,83
GPPP-PT-C0100N0000000100,33,22,83
GPPP-PT-C0100N0000001000,33,22,83
GPPP-PT-C0100N0000010000,33,22,83
GPPP-PT-C0100N0000100000,33,22,83
GPPP-PT-C1000N0000000010,33,22,83
GPPP-PT-C1000N0000000100,33,22,83
GPPP-PT-C1000N0000001000,33,22,83
GPUForwardProgress-PT-04a,24,29,101
GPUForwardProgress-PT-04b,112,117,277
GPUForwardProgress-PT-08a,40,49,181
GPUForwardProgress-PT-08b,188,197,477
GPUForwardProgress-PT-12a,56,69,261
GPUForwardProgress-PT-12b,264,277,677
GPUForwardProgress-PT-16a,72,89,341
GPUForwardProgress-PT-16b,340,357,877
GPUForwardProgress-PT-20a,88,109,421
GPUForwardProgress-PT-20b,416,437,1077
GPUForwardProgress-PT-24a,104,129,501
GPUForwardProgress-PT-24b,492,517,1277
GPUForwardProgress-PT-28a,120,149,581
GPUForwardProgress-PT-28b,568,597,1477
GPUForwardProgress-PT-32a,136,169,661
GPUForwardProgress-PT-32b,644,677,1677
GPUForwardProgress-PT-36a,152,189,741
GPUForwardProgress-PT-36b,720,757,1877
GPUForwardProgress-PT-40a,168,209,821
GPUForwardProgress-PT-40b,796,837,2077
HealthRecord-PT-01,117,218,557
HealthRecord-PT-02,119,225,577
HealthRecord-PT-03,121,232,597
HealthRecord-PT-04,123,239,617
HealthRecord-PT-05,125,246,637
HealthRecord-PT-06,154,319,835
HealthRecord-PT-07,155,320,839
HealthRecord-PT-08,156,326,855
HealthRecord-PT-09,157,327,859
HealthRecord-PT-10,158,333,875
HealthRecord-PT-11,159,334,879
HealthRecord-PT-12,160,340,895
HealthRecord-PT-13,161,341,899
HealthRecord-PT-14,162,347,915
HealthRecord-PT-15,163,348,919
HealthRecord-PT-16,453,594,1333
HealthRecord-PT-17,624,828,1879
HexagonalGrid-PT-110,31,42,168
HexagonalGrid-PT-126,31,42,168
HexagonalGrid-PT-226,169,270,1080
HexagonalGrid-PT-316,421,714,2856
HexagonalGrid-PT-410,787,1374,5496
HexagonalGrid-PT-516,1267,2250,9000
HexagonalGrid-PT-816,3391,6174,24696
HirschbergSinclair-PT-05,124,111,340
HirschbergSinclair-PT-10,260,236,721
HirschbergSinclair-PT-15,330,296,906
HirschbergSinclair-PT-20,530,485,1479
HirschbergSinclair-PT-25,600,545,1664
HirschbergSinclair-PT-30,670,605,1849
HirschbergSinclair-PT-35,998,922,2806
HirschbergSinclair-PT-40,1068,982,2991
HirschbergSinclair-PT-45,1138,1042,3176
HirschbergSinclair-PT-50,1208,1102,3361
HospitalTriage-PT-none,245,228,680
HouseConstruction-PT-00002,26,18,51
HouseConstruction-PT-00005,26,18,51
HouseConstruction-PT-00010,26,18,51
HouseConstruction-PT-00020,26,18,51
HouseConstruction-PT-00050,26,18,51
HouseConstruction-PT-00100,26,18,51
HouseConstruction-PT-00200,26,18,51
HouseConstruction-PT-00500,26,18,51
HouseConstruction-PT-01000,26,18,51
HouseConstruction-PT-02000,26,18,51
HouseConstruction-PT-04000,26,18,51
HouseConstruction-PT-08000,26,18,51
HouseConstruction-PT-16000,26,18,51
HouseConstruction-PT-32000,26,18,51
HypercubeGrid-PT-C3K4P4B12,1408,2400,9600
HypercubeGrid-PT-C4K3P3B12,2457,5400,21600
HypercubeGrid-PT-C5K3P3B15,9153,25110,100440
HypertorusGrid-PT-d2k1p8b00,13,16,64
HypertorusGrid-PT-d2k2p1b00,52,64,256
HypertorusGrid-PT-d2k3p2b04,117,144,576
HypertorusGrid-PT-d3k3p2b06,513,972,3888
HypertorusGrid-PT-d4k3p2b08,2025,5184,20736
HypertorusGrid-PT-d5k3p2b10,7533,24300,97200
IBM319-PT-none,253,178,526
IBM5964-PT-none,263,139,541
IBM703-PT-none,262,284,572
IBMB2S565S3960-PT-none,273,179,572
IOTPpurchase-PT-C01M01P01D01,111,45,224
IOTPpurchase-PT-C03M03P03D03,111,45,224
IOTPpurchase-PT-C05M04P03D02,111,45,224
IOTPpurchase-PT-C12M10P15D17,111,45,224
JoinFreeModules-PT-0003,16,25,71
JoinFreeModules-PT-0004,21,33,94
JoinFreeModules-PT-0005,26,41,117
JoinFreeModules-PT-0010,51,81,232
JoinFreeModules-PT-0020,101,161,462
JoinFreeModules-PT-0050,251,401,1152
JoinFreeModules-PT-0100,501,801,2302
JoinFreeModules-PT-0200,1001,1601,4602
JoinFreeModules-PT-0500,2501,4001,11502
JoinFreeModules-PT-1000,5001,8001,23002
JoinFreeModules-PT-2000,10001,16001,46002
JoinFreeModules-PT-5000,25001,40001,115002
Kanban-PT-00005,16,16,40
Kanban-PT-00010,16,16,40
Kanban-PT-00020,16,16,40
Kanban-PT-00050,16,16,40
Kanban-PT-00100,16,16,40
Kanban-PT-00200,16,16,40
Kanban-PT-00500,16,16,40
Kanban-PT-01000,16,16,40
Kanban-PT-02000,16,16,40
Kanban-PT-05000,16,16,40
Kanban-PT-10000,16,16,40
Kanban-PT-20000,16,16,40
Kanban-PT-50000,16,16,40
LamportFastMutEx-COL-2,18,17,68
LamportFastMutEx-COL-3,18,17,68
LamportFastMutEx-COL-4,18,17,68
LamportFastMutEx-COL-5,18,17,68
LamportFastMutEx-COL-6,18,17,68
LamportFastMutEx-COL-7,18,17,68
LamportFastMutEx-COL-8,18,17,68
LamportFastMutEx-PT-2,69,96,402
LamportFastMutEx-PT-3,100,156,664
LamportFastMutEx-PT-4,135,230,990
LamportFastMutEx-PT-5,174,318,1380
LamportFastMutEx-PT-6,217,420,1834
LamportFastMutEx-PT-7,264,536,2352
LamportFastMutEx-PT-8,315,666,2934
LeafsetExtension-PT-S08C2,462,409,1324
LeafsetExtension-PT-S08C3,462,409,1324
LeafsetExtension-PT-S08C4,462,409,1324
LeafsetExtension-PT-S16C2,1542,1449,4668
LeafsetExtension-PT-S16C3,1542,1449,4668
LeafsetExtension-PT-S16C4,1542,1449,4668
LeafsetExtension-PT-S32C2,5622,5449,17500
LeafsetExtension-PT-S32C3,5622,5449,17500
LeafsetExtension-PT-S32C4,5622,5449,17500
LeafsetExtension-PT-S64C2,21462,21129,67740
LeafsetExtension-PT-S64C3,21462,21129,67740
LeafsetExtension-PT-S64C4,21462,21129,67740
MAPKbis-PT-5310,106,173,986
MAPKbis-PT-5320,106,173,986
MAPK-PT-00008,22,30,90
MAPK-PT-00020,22,30,90
MAPK-PT-00040,22,30,90
MAPK-PT-00080,22,30,90
MAPK-PT-00160,22,30,90
MAPK-PT-00320,22,30,90
MAPK-PT-00640,22,30,90
MAPK-PT-01280,22,30,90
MAPK-PT-02560,22,30,90
MAPK-PT-05120,22,30,90
MAPK-PT-10240,22,30,90
Medical-PT-02,312,5431,28790
Medical-PT-04,312,5431,28790
Medical-PT-06,312,5431,28790
Medical-PT-08,312,5431,28790
Medical-PT-10,312,5431,28790
Medical-PT-12,312,5431,28790
Medical-PT-14,312,5431,28790
Medical-PT-16,312,5431,28790
Medical-PT-18,312,5431,28790
Medical-PT-20,312,5431,28790
Medical-PT-22,312,5431,28790
Medical-PT-24,312,5431,28790
MultiCrashLeafsetExtension-PT-S16C02,2952,4255,17902
MultiCrashLeafsetExtension-PT-S16C03,3606,5141,20838
MultiCrashLeafsetExtension-PT-S16C04,4260,6027,23774
MultiCrashLeafsetExtension-PT-S16C05,4914,6913,26710
MultiCrashLeafsetExtension-PT-S16C06,5568,7799,29646
MultiCrashLeafsetExtension-PT-S16C07,6222,8685,32582
MultiCrashLeafsetExtension-PT-S16C08,6876,9571,35518
MultiCrashLeafsetExtension-PT-S24C02,7032,10855,46214
MultiCrashLeafsetExtension-PT-S24C03,8390,12757,52526
MultiCrashLeafsetExtension-PT-S24C04,9748,14659,58838
MultiCrashLeafsetExtension-PT-S24C05,11106,16561,65150
MultiCrashLeafsetExtension-PT-S24C06,12464,18463,71462
MultiCrashLeafsetExtension-PT-S24C07,13822,20365,77774
MultiCrashLeafsetExtension-PT-S24C08,15180,22267,84086
MultiCrashLeafsetExtension-PT-S24C09,16538,24169,90398
MultiCrashLeafsetExtension-PT-S24C10,17896,26071,96710
MultiCrashLeafsetExtension-PT-S24C11,19254,27973,103022
MultiCrashLeafsetExtension-PT-S24C12,20612,29875,109334
MultiCrashLeafsetExtension-PT-S32C02,13544,21807,93598
MultiCrashLeafsetExtension-PT-S32C03,15862,25109,104566
MultiCrashLeafsetExtension-PT-S32C04,18180,28411,115534
MultiCrashLeafsetExtension-PT-S32C05,20498,31713,126502
MultiCrashLeafsetExtension-PT-S32C06,22816,35015,137470
MultiCrashLeafsetExtension-PT-S32C07,25134,38317,148438
MultiCrashLeafsetExtension-PT-S32C08,27452,41619,159406
MultiCrashLeafsetExtension-PT-S32C09,29770,44921,170374
MultiCrashLeafsetExtension-PT-S32C10,32088,48223,181342
MultiCrashLeafsetExtension-PT-S32C11,34406,51525,192310
MultiCrashLeafsetExtension-PT-S32C12,36724,54827,203278
MultiwaySync-PT-none,222,472,1496
Murphy-COL-D1N010,6,7,27
Murphy-COL-D2N050,6,7,27
Murphy-COL-D2N100,6,7,27
Murphy-COL-D3N050,6,7,27
Murphy-COL-D4N025,6,7,27
Murphy-COL-D4N050,6,7,27
Murphy-PT-D1N010,12,14,54
Murphy-PT-D2N050,18,21,81
Murphy-PT-D2N100,18,21,81
Murphy-PT-D3N050,24,28,108
Murphy-PT-D4N025,30,35,135
Murphy-PT-D4N050,30,35,135
NeighborGrid-PT-d2n3m1c12,9,40,80
NeighborGrid-PT-d2n3m1t12,9,72,144
NeighborGrid-PT-d3n3m1t11,27,162,324
NeighborGrid-PT-d4n3m2c23,81,1632,3264
NeighborGrid-PT-d5n4m1t35,1024,196608,393216
NeoElection-COL-2,18,22,98
NeoElection-COL-3,18,22,98
NeoElection-COL-4,18,22,98
NeoElection-COL-5,18,22,98
NeoElection-COL-6,18,22,98
NeoElection-COL-7,18,22,98
NeoElection-COL-8,18,22,98
NeoElection-PT-2,438,357,1998
NeoElection-PT-3,972,1016,5840
NeoElection-PT-4,1830,2340,13565
NeoElection-PT-5,3090,4674,27162
NeoElection-PT-6,4830,8435,49028
NeoElection-PT-7,7128,14112,81968
NeoElection-PT-8,10062,22266,129195
NoC3x3-PT-1A,165,355,1069
NoC3x3-PT-1B,1416,1640,3639
NoC3x3-PT-2A,361,428,1697
NoC3x3-PT-2B,2003,2292,5835
NoC3x3-PT-3A,370,450,1773
NoC3x3-PT-3B,2117,2435,6177
NoC3x3-PT-4A,293,608,1905
NoC3x3-PT-4B,2328,2701,6091
NoC3x3-PT-5A,417,933,3585
NoC3x3-PT-5B,1571,2173,6109
NoC3x3-PT-6A,512,1117,4279
NoC3x3-PT-6B,1544,2229,6663
NoC3x3-PT-7A,801,1544,4519
NoC3x3-PT-7B,7014,8833,19619
NoC3x3-PT-8A,317,4293,9691
NoC3x3-PT-8B,9140,14577,30726
NQueens-PT-05,55,25,125
NQueens-PT-08,112,64,320
NQueens-PT-10,160,100,500
NQueens-PT-12,216,144,720
NQueens-PT-15,315,225,1125
NQueens-PT-20,520,400,2000
NQueens-PT-25,775,625,3125
NQueens-PT-30,1080,900,4500
PaceMaker-PT-none,70,164,954
ParamProductionCell-PT-0,198,176,730
ParamProductionCell-PT-1,231,202,846
ParamProductionCell-PT-2,231,202,846
ParamProductionCell-PT-3,231,202,846
ParamProductionCell-PT-4,231,202,846
ParamProductionCell-PT-5,231,202,846
Parking-PT-104,65,97,284
Parking-PT-208,137,201,593
Parking-PT-416,305,433,1289
Parking-PT-432,529,785,2329
Parking-PT-832,737,993,2993
Parking-PT-864,1185,1697,5073
PermAdmissibility-COL-01,40,16,83
PermAdmissibility-COL-02,40,16,83
PermAdmissibility-COL-05,40,16,83
PermAdmissibility-COL-10,40,16,83
PermAdmissibility-COL-20,40,16,83
PermAdmissibility-COL-50,40,16,83
PermAdmissibility-PT-01,168,592,3456
PermAdmissibility-PT-02,168,592,3456
PermAdmissibility-PT-05,168,592,3456
PermAdmissibility-PT-10,168,592,3456
PermAdmissibility-PT-20,168,592,3456
PermAdmissibility-PT-50,168,592,3456
Peterson-COL-2,11,14,42
Peterson-COL-3,11,14,42
Peterson-COL-4,11,14,42
Peterson-COL-5,11,14,42
Peterson-COL-6,11,14,42
Peterson-COL-7,11,14,42
Peterson-PT-2,102,126,384
Peterson-PT-3,244,332,1016
Peterson-PT-4,480,690,2120
Peterson-PT-5,834,1242,3828
Peterson-PT-6,1330,2030,6272
Peterson-PT-7,1992,3096,9584
PGCD-COL-D02N005,3,3,14
PGCD-COL-D02N006,3,3,14
PGCD-COL-D02N100,3,3,14
PGCD-COL-D03N050,3,3,14
PGCD-COL-D04N025,3,3,14
PGCD-COL-D04N050,3,3,14
PGCD-COL-D05N025,3,3,14
PGCD-PT-D02N005,9,9,42
PGCD-PT-D02N006,9,9,42
PGCD-PT-D02N100,9,9,42
PGCD-PT-D03N050,12,12,56
PGCD-PT-D04N025,15,15,70
PGCD-PT-D04N050,15,15,70
PGCD-PT-D05N025,18,18,84
PhaseVariation-PT-D02CS010,14,65,443
PhaseVariation-PT-D02CS100,14,65,443
PhaseVariation-PT-D05CS010,77,677,4685
PhaseVariation-PT-D05CS100,77,677,4685
PhaseVariation-PT-D10CS010,302,3137,21755
PhaseVariation-PT-D10CS100,302,3137,21755
PhaseVariation-PT-D20CS010,1202,13457,93395
PhaseVariation-PT-D20CS100,1202,13457,93395
PhaseVariation-PT-D30CS010,2702,30977,215035
PhaseVariation-PT-D30CS100,2702,30977,215035
Philosophers-COL-000005,5,5,15
Philosophers-COL-000010,5,5,15
Philosophers-COL-000020,5,5,15
Philosophers-COL-000050,5,5,15
Philosophers-COL-000100,5,5,15
Philosophers-COL-000200,5,5,15
Philosophers-COL-000500,5,5,15
Philosophers-COL-001000,5,5,15
Philosophers-COL-002000,5,5,15
Philosophers-COL-005000,5,5,15
Philosophers-COL-010000,5,5,15
Philosophers-COL-050000,5,5,15
Philosophers-COL-100000,5,5,15
PhilosophersDyn-COL-03,8,7,33
PhilosophersDyn-COL-10,8,7,33
PhilosophersDyn-COL-20,8,7,33
PhilosophersDyn-COL-50,8,7,33
PhilosophersDyn-COL-80,8,7,33
PhilosophersDyn-PT-03,30,84,564
PhilosophersDyn-PT-10,170,2310,18190
PhilosophersDyn-PT-20,540,17220,140780
Philosophers-PT-000005,25,25,80
Philosophers-PT-000010,50,50,160
Philosophers-PT-000020,100,100,320
Philosophers-PT-000050,250,250,800
Philosophers-PT-000100,500,500,1600
Philosophers-PT-000200,1000,1000,3200
Philosophers-PT-000500,2500,2500,8000
Philosophers-PT-001000,5000,5000,16000
Philosophers-PT-002000,10000,10000,32000
Philosophers-PT-005000,25000,25000,80000
Philosophers-PT-010000,50000,50000,160000
Planning-PT-none,126,128,652
PolyORBLF-COL-S02J04T06,81,65,254
PolyORBLF-COL-S02J04T08,81,65,254
PolyORBLF-COL-S02J04T10,81,65,254
PolyORBLF-COL-S02J06T06,81,65,254
PolyORBLF-COL-S02J06T08,81,65,254
PolyORBLF-COL-S02J06T10,81,65,254
PolyORBLF-COL-S04J04T06,81,65,254
PolyORBLF-COL-S04J04T08,81,65,254
PolyORBLF-COL-S04J04T10,81,65,254
PolyORBLF-COL-S04J06T06,81,65,254
PolyORBLF-COL-S04J06T08,81,65,254
PolyORBLF-COL-S04J06T10,81,65,254
PolyORBLF-COL-S06J04T04,81,65,254
PolyORBLF-COL-S06J04T06,81,65,254
PolyORBLF-COL-S06J04T08,81,65,254
PolyORBLF-COL-S06J06T04,81,65,254
PolyORBLF-COL-S06J06T06,81,65,254
PolyORBLF-COL-S06J06T08,81,65,254
PolyORBLF-PT-S02J04T06,476,920,4242
PolyORBLF-PT-S02J04T08,614,1242,5732
PolyORBLF-PT-S02J04T10,752,1572,7262
PolyORBLF-PT-S02J06T06,536,1064,4866
PolyORBLF-PT-S02J06T08,690,1434,6564
PolyORBLF-PT-S02J06T10,844,1812,8302
PolyORBLF-PT-S04J04T06,554,2998,20754
PolyORBLF-PT-S04J04T08,712,4012,27744
PolyORBLF-PT-S04J04T10,870,5034,34774
PolyORBLF-PT-S04J06T06,618,3190,21570
PolyORBLF-PT-S04J06T08,792,4268,28832
PolyORBLF-PT-S04J06T10,966,5354,36134
PolyORBLF-PT-S06J04T04,454,6994,59152
PolyORBLF-PT-S06J04T06,632,10500,88770
PolyORBLF-PT-S06J04T08,810,14014,118428
PolyORBLF-PT-S06J06T04,506,7154,59824
PolyORBLF-PT-S06J06T06,700,10740,89778
PolyORBLF-PT-S06J06T08,894,14334,119772
PolyORBNT-COL-S05J20,48,38,140
PolyORBNT-COL-S05J30,48,38,140
PolyORBNT-COL-S05J40,48,38,140
PolyORBNT-COL-S05J60,48,38,140
PolyORBNT-COL-S05J80,48,38,140
PolyORBNT-COL-S10J20,48,38,140
PolyORBNT-COL-S10J30,48,38,140
PolyORBNT-COL-S10J40,48,38,140
PolyORBNT-COL-S10J60,48,38,140
PolyORBNT-COL-S10J80,48,38,140
PolyORBNT-PT-S05J20,349,1210,8824
PolyORBNT-PT-S05J30,489,1400,9764
PolyORBNT-PT-S05J40,629,1590,10704
PolyORBNT-PT-S05J60,909,1970,12584
PolyORBNT-PT-S05J80,1189,2350,14464
PolyORBNT-PT-S10J20,474,11760,111119
PolyORBNT-PT-S10J30,664,12050,112559
PolyORBNT-PT-S10J40,854,12340,113999
PolyORBNT-PT-S10J60,1234,12920,116879
PolyORBNT-PT-S10J80,1614,13500,119759
ProductionCell-PT-none,176,134,513
QuasiCertifProtocol-COL-02,30,26,77
QuasiCertifProtocol-COL-06,30,26,77
QuasiCertifProtocol-COL-10,30,26,77
QuasiCertifProtocol-COL-18,30,26,77
QuasiCertifProtocol-COL-22,30,26,77
QuasiCertifProtocol-COL-28,30,26,77
QuasiCertifProtocol-COL-32,30,26,77
QuasiCertifProtocol-PT-02,86,56,223
QuasiCertifProtocol-PT-06,270,116,659
QuasiCertifProtocol-PT-10,550,176,1287
QuasiCertifProtocol-PT-18,1398,296,3119
QuasiCertifProtocol-PT-22,1966,356,4323
QuasiCertifProtocol-PT-28,2998,446,6489
QuasiCertifProtocol-PT-32,3806,506,8173
Raft-PT-02,28,52,159
Raft-PT-03,53,98,328
Raft-PT-04,88,160,563
Raft-PT-05,133,238,864
Raft-PT-06,188,332,1231
Raft-PT-07,253,442,1664
Raft-PT-08,328,568,2163
Raft-PT-09,413,710,2728
Raft-PT-10,508,868,3359
Railroad-PT-005,68,56,313
Railroad-PT-010,118,156,898
Railroad-PT-020,218,506,2968
Railroad-PT-050,518,2756,16378
Railroad-PT-100,1018,10506,62728
Referendum-COL-0010,4,3,6
Referendum-COL-0015,4,3,6
Referendum-COL-0020,4,3,6
Referendum-COL-0050,4,3,6
Referendum-COL-0100,4,3,6
Referendum-COL-0200,4,3,6
Referendum-COL-0500,4,3,6
Referendum-COL-1000,4,3,6
Referendum-PT-0010,31,21,51
Referendum-PT-0015,46,31,76
Referendum-PT-0020,61,41,101
Referendum-PT-0050,151,101,251
Referendum-PT-0100,301,201,501
Referendum-PT-0200,601,401,1001
Referendum-PT-0500,1501,1001,2501
Referendum-PT-1000,3001,2001,5001
RefineWMG-PT-002002,14,11,32
RefineWMG-PT-002003,14,11,32
RefineWMG-PT-005005,29,23,68
RefineWMG-PT-005006,29,23,68
RefineWMG-PT-007007,39,31,92
RefineWMG-PT-007008,39,31,92
RefineWMG-PT-010010,54,43,128
RefineWMG-PT-010011,54,43,128
RefineWMG-PT-015015,79,63,188
RefineWMG-PT-015016,79,63,188
RefineWMG-PT-025025,129,103,308
RefineWMG-PT-025026,129,103,308
RefineWMG-PT-050050,254,203,608
RefineWMG-PT-050051,254,203,608
RefineWMG-PT-100100,504,403,1208
RefineWMG-PT-100101,504,403,1208
RERS17pb113-PT-1,639,31353,125418
RERS17pb113-PT-2,639,31353,125418
RERS17pb113-PT-3,639,31353,125418
RERS17pb113-PT-4,639,31353,125418
RERS17pb113-PT-5,639,31353,125418
RERS17pb113-PT-6,639,31353,125418
RERS17pb113-PT-7,639,31353,125418
RERS17pb113-PT-8,639,31353,125418
RERS17pb113-PT-9,639,31353,125418
RERS17pb114-PT-1,1446,151085,604252
RERS17pb114-PT-2,1446,151085,604252
RERS17pb114-PT-3,1446,151085,604252
RERS17pb114-PT-4,1446,151085,604252
RERS17pb114-PT-5,1446,151085,604252
RERS17pb114-PT-6,1446,151085,604252
RERS17pb114-PT-7,1446,151085,604252
RERS17pb114-PT-8,1446,151085,604252
RERS17pb114-PT-9,1446,151085,604252
RERS17pb115-PT-1,1399,144369,577414
RERS17pb115-PT-2,1399,144369,577414
RERS17pb115-PT-3,1399,144369,577414
RERS17pb115-PT-4,1399,144369,577414
RERS17pb115-PT-5,1399,144369,577414
RERS17pb115-PT-6,1399,144369,577414
RERS17pb115-PT-7,1399,144369,577414
RERS17pb115-PT-8,1399,144369,577414
RERS17pb115-PT-9,1399,144369,577414
RERS2020-PT-pb101,906,149363,595952
RERS2020-PT-pb102,1276,125387,499222
RERS2020-PT-pb103,520,31658,125892
RERS2020-PT-pb104,1353,143642,572292
RERS2020-PT-pb105,1982,153412,610156
RERS2020-PT-pb106,2041,125740,498326
RERS2020-PT-pb107,1382,104643,417030
RERS2020-PT-pb108,2339,132214,523950
RERS2020-PT-pb109,1907,151872,605350
ResAllocation-PT-R002C002,8,6,20
ResAllocation-PT-R003C002,12,8,30
ResAllocation-PT-R003C003,18,12,48
ResAllocation-PT-R003C005,30,20,84
ResAllocation-PT-R003C010,60,40,174
ResAllocation-PT-R003C015,90,60,264
ResAllocation-PT-R003C020,120,80,354
ResAllocation-PT-R003C050,300,200,894
ResAllocation-PT-R003C100,600,400,1794
ResAllocation-PT-R005C002,20,12,50
ResAllocation-PT-R010C002,40,22,100
ResAllocation-PT-R015C002,60,32,150
ResAllocation-PT-R020C002,80,42,200
ResAllocation-PT-R050C002,200,102,500
ResAllocation-PT-R100C002,400,202,1000
Ring-PT-none,139,87,410
RingSingleMessageInMbox-PT-d0m005,385,59,236
RingSingleMessageInMbox-PT-d0m010,385,59,236
RingSingleMessageInMbox-PT-d0m020,385,59,236
RingSingleMessageInMbox-PT-d0m040,385,59,236
RingSingleMessageInMbox-PT-d0m080,385,59,236
RingSingleMessageInMbox-PT-d0m160,385,59,236
RingSingleMessageInMbox-PT-d1m005,6690,11934,47736
RingSingleMessageInMbox-PT-d1m010,6690,11934,47736
RingSingleMessageInMbox-PT-d1m020,6690,11934,47736
RingSingleMessageInMbox-PT-d1m040,6690,11934,47736
RingSingleMessageInMbox-PT-d1m080,6690,11934,47736
RingSingleMessageInMbox-PT-d1m160,6690,11934,47736
RingSingleMessageInMbox-PT-d2m005,66950,213625,854500
RingSingleMessageInMbox-PT-d2m010,66950,213625,854500
RingSingleMessageInMbox-PT-d2m020,66950,213625,854500
RingSingleMessageInMbox-PT-d2m040,66950,213625,854500
RingSingleMessageInMbox-PT-d2m080,66950,213625,854500
RingSingleMessageInMbox-PT-d2m160,66950,213625,854500
RobotManipulation-PT-00001,15,11,34
RobotManipulation-PT-00002,15,11,34
RobotManipulation-PT-00005,15,11,34
RobotManipulation-PT-00010,15,11,34
RobotManipulation-PT-00020,15,11,34
RobotManipulation-PT-00050,15,11,34
RobotManipulation-PT-00100,15,11,34
RobotManipulation-PT-00200,15,11,34
RobotManipulation-PT-00500,15,11,34
RobotManipulation-PT-01000,15,11,34
RobotManipulation-PT-02000,15,11,34
RobotManipulation-PT-05000,15,11,34
RobotManipulation-PT-10000,15,11,34
RwMutex-PT-r0010w0010,50,40,300
RwMutex-PT-r0010w0020,70,60,540
RwMutex-PT-r0010w0050,130,120,1260
RwMutex-PT-r0010w0100,230,220,2460
RwMutex-PT-r0010w0500,1030,1020,12060
RwMutex-PT-r0010w1000,2030,2020,24060
RwMutex-PT-r0010w2000,4030,4020,48060
RwMutex-PT-r0020w0010,80,60,560
RwMutex-PT-r0100w0010,320,220,2640
RwMutex-PT-r0500w0010,1520,1020,13040
RwMutex-PT-r1000w0010,3020,2020,26040
RwMutex-PT-r2000w0010,6020,4020,52040
SafeBus-COL-03,20,14,68
SafeBus-COL-06,20,14,68
SafeBus-COL-10,20,14,68
SafeBus-COL-15,20,14,68
SafeBus-COL-20,20,14,68
SafeBus-COL-50,20,14,68
SafeBus-COL-80,20,14,68
SafeBus-PT-03,57,91,541
SafeBus-PT-06,144,451,2968
SafeBus-PT-10,316,1631,11384
SafeBus-PT-15,621,4771,34549
SafeBus-PT-20,1026,10461,77364
SatelliteMemory-PT-X00100Y0003,13,10,40
SatelliteMemory-PT-X01000Y0032,13,10,40
SatelliteMemory-PT-X01500Y0046,13,10,40
SatelliteMemory-PT-X03000Y0094,13,10,40
SatelliteMemory-PT-X65535Y2048,13,10,40
SemanticWebServices-PT-S064P06,97,164,661
SemanticWebServices-PT-S064P09,100,164,719
SemanticWebServices-PT-S064P12,104,158,863
SemanticWebServices-PT-S064P15,118,194,1007
SemanticWebServices-PT-S064P18,154,236,1265
SemanticWebServices-PT-S128P06,262,1328,9727
SemanticWebServices-PT-S128P09,242,946,6609
SemanticWebServices-PT-S128P12,191,414,1559
SemanticWebServices-PT-S128P15,188,416,1593
SemanticWebServices-PT-S128P18,184,466,1873
SemanticWebServices-PT-S256P06,439,14102,130267
SemanticWebServices-PT-S256P09,418,27524,270595
SemanticWebServices-PT-S256P12,356,20464,190527
SemanticWebServices-PT-S256P15,329,29492,267319
SemanticWebServices-PT-S256P18,198,9732,78799
ServersAndClients-PT-100020,2421,4200,12800
ServersAndClients-PT-100040,4441,8200,24800
ServersAndClients-PT-100080,8481,16200,48800
ServersAndClients-PT-100160,16561,32200,96800
ServersAndClients-PT-100320,32721,64200,192800
ServersAndClients-PT-200040,8841,16400,49600
ServersAndClients-PT-200080,16881,32400,97600
ServersAndClients-PT-200160,32961,64400,193600
ServersAndClients-PT-200320,65121,128400,385600
ServersAndClients-PT-400080,33681,64800,195200
ServersAndClients-PT-400160,65761,128800,387200
SharedMemory-COL-000005,6,5,16
SharedMemory-COL-000010,6,5,16
SharedMemory-COL-000020,6,5,16
SharedMemory-COL-000050,6,5,16
SharedMemory-COL-000100,6,5,16
SharedMemory-COL-000200,6,5,16
SharedMemory-COL-000500,6,5,16
SharedMemory-COL-001000,6,5,16
SharedMemory-COL-002000,6,5,16
SharedMemory-COL-005000,6,5,16
SharedMemory-COL-010000,6,5,16
SharedMemory-COL-020000,6,5,16
SharedMemory-COL-050000,6,5,16
SharedMemory-COL-100000,6,5,16
SharedMemory-PT-000005,41,55,200
SharedMemory-PT-000010,131,210,800
SharedMemory-PT-000020,461,820,3200
SharedMemory-PT-000050,2651,5050,20000
SharedMemory-PT-000100,10301,20100,80000
SharedMemory-PT-000200,40601,80200,320000
ShieldIIPs-PT-001A,28,27,114
ShieldIIPs-PT-001B,63,62,184
ShieldIIPs-PT-002A,53,51,222
ShieldIIPs-PT-002B,123,121,362
ShieldIIPs-PT-003A,78,75,330
ShieldIIPs-PT-003B,183,180,540
ShieldIIPs-PT-004A,103,99,438
ShieldIIPs-PT-004B,243,239,718
ShieldIIPs-PT-005A,128,123,546
ShieldIIPs-PT-005B,303,298,896
ShieldIIPs-PT-010A,253,243,1086
ShieldIIPs-PT-010B,603,593,1786
ShieldIIPs-PT-020A,503,483,2166
ShieldIIPs-PT-020B,1203,1183,3566
ShieldIIPs-PT-030A,753,723,3246
ShieldIIPs-PT-030B,1803,1773,5346
ShieldIIPs-PT-040A,1003,963,4326
ShieldIIPs-PT-040B,2403,2363,7126
ShieldIIPs-PT-050A,1253,1203,5406
