model,isSafe,isNUPN,isGenNUPN
LamportFastMutEx-PT-8,T,F,T
LeafsetExtension-PT-S08C2,F,F,F
LeafsetExtension-PT-S08C3,F,F,F
LeafsetExtension-PT-S08C4,F,F,F
LeafsetExtension-PT-S16C2,F,F,F
LeafsetExtension-PT-S16C3,F,F,F
LeafsetExtension-PT-S16C4,F,F,F
LeafsetExtension-PT-S32C2,F,F,F
LeafsetExtension-PT-S32C3,F,F,F
LeafsetExtension-PT-S32C4,F,F,F
LeafsetExtension-PT-S64C2,F,F,F
LeafsetExtension-PT-S64C3,F,F,F
LeafsetExtension-PT-S64C4,F,F,F
MAPKbis-PT-5310,T,F,T
MAPKbis-PT-5320,T,F,T
MAPK-PT-00008,F,F,F
MAPK-PT-00020,F,F,F
MAPK-PT-00040,F,F,F
MAPK-PT-00080,F,F,F
MAPK-PT-00160,F,F,F
MAPK-PT-00320,F,F,F
MAPK-PT-00640,F,F,F
MAPK-PT-01280,F,F,F
MAPK-PT-02560,F,F,F
MAPK-PT-05120,F,F,F
MAPK-PT-10240,F,F,F
Medical-PT-02,F,F,F
Medical-PT-04,F,F,F
Medical-PT-06,F,F,F
Medical-PT-08,F,F,F
Medical-PT-10,F,F,F
Medical-PT-12,F,F,F
Medical-PT-14,F,F,F
Medical-PT-16,F,F,F
Medical-PT-18,F,F,F
Medical-PT-20,F,F,F
Medical-PT-22,F,F,F
Medical-PT-24,F,F,F
MultiCrashLeafsetExtension-PT-S16C02,F,F,F
MultiCrashLeafsetExtension-PT-S16C03,F,F,F
MultiCrashLeafsetExtension-PT-S16C04,F,F,F
MultiCrashLeafsetExtension-PT-S16C05,F,F,F
MultiCrashLeafsetExtension-PT-S16C06,F,F,F
MultiCrashLeafsetExtension-PT-S16C07,F,F,F
MultiCrashLeafsetExtension-PT-S16C08,F,F,F
MultiCrashLeafsetExtension-PT-S24C02,F,F,F
MultiCrashLeafsetExtension-PT-S24C03,F,F,F
MultiCrashLeafsetExtension-PT-S24C04,F,F,F
MultiCrashLeafsetExtension-PT-S24C05,F,F,F
MultiCrashLeafsetExtension-PT-S24C06,F,F,F
MultiCrashLeafsetExtension-PT-S24C07,F,F,F
MultiCrashLeafsetExtension-PT-S24C08,F,F,F
MultiCrashLeafsetExtension-PT-S24C09,F,F,F
MultiCrashLeafsetExtension-PT-S24C10,F,F,F
MultiCrashLeafsetExtension-PT-S24C11,F,F,F
MultiCrashLeafsetExtension-PT-S24C12,F,F,F
MultiCrashLeafsetExtension-PT-S32C02,F,F,F
MultiCrashLeafsetExtension-PT-S32C03,F,F,F
MultiCrashLeafsetExtension-PT-S32C04,F,F,F
MultiCrashLeafsetExtension-PT-S32C05,F,F,F
MultiCrashLeafsetExtension-PT-S32C06,F,F,F
MultiCrashLeafsetExtension-PT-S32C07,F,F,F
MultiCrashLeafsetExtension-PT-S32C08,F,F,F
MultiCrashLeafsetExtension-PT-S32C09,F,F,F
MultiCrashLeafsetExtension-PT-S32C10,F,F,F
MultiCrashLeafsetExtension-PT-S32C11,F,F,F
MultiCrashLeafsetExtension-PT-S32C12,F,F,F
MultiwaySync-PT-none,T,T,F
Murphy-PT-D1N010,F,F,F
Murphy-PT-D2N050,F,F,F
Murphy-PT-D2N100,F,F,F
Murphy-PT-D3N050,F,F,F
Murphy-PT-D4N025,F,F,F
Murphy-PT-D4N050,F,F,F
NeighborGrid-PT-d2n3m1c12,F,F,F
NeighborGrid-PT-d2n3m1t12,F,F,F
NeighborGrid-PT-d3n3m1t11,F,F,F
NeighborGrid-PT-d4n3m2c23,F,F,F
NeighborGrid-PT-d5n4m1t35,F,F,F
NeoElection-PT-2,T,F,T
NeoElection-PT-3,T,F,T
NeoElection-PT-4,T,F,T
NeoElection-PT-5,T,F,T
NeoElection-PT-6,T,F,T
NeoElection-PT-7,T,F,T
NeoElection-PT-8,T,F,T
NoC3x3-PT-1A,T,T,F
NoC3x3-PT-1B,T,T,F
NoC3x3-PT-2A,T,T,F
NoC3x3-PT-2B,T,T,F
NoC3x3-PT-3A,T,T,F
NoC3x3-PT-3B,T,T,F
NoC3x3-PT-4A,T,T,F
NoC3x3-PT-4B,T,T,F
NoC3x3-PT-5A,T,T,F
NoC3x3-PT-5B,T,T,F
NoC3x3-PT-6A,T,T,F
NoC3x3-PT-6B,T,T,F
NoC3x3-PT-7A,T,T,F
NoC3x3-PT-7B,T,T,F
NoC3x3-PT-8A,T,T,F
NoC3x3-PT-8B,T,T,F
NQueens-PT-05,T,F,T
NQueens-PT-08,T,F,T
NQueens-PT-10,T,F,T
NQueens-PT-12,T,F,T
NQueens-PT-15,T,F,T
NQueens-PT-20,T,F,T
NQueens-PT-25,T,F,T
NQueens-PT-30,T,F,T
PaceMaker-PT-none,F,F,F
ParamProductionCell-PT-0,T,F,T
ParamProductionCell-PT-1,T,F,T
ParamProductionCell-PT-2,T,F,T
ParamProductionCell-PT-3,T,F,T
ParamProductionCell-PT-4,T,F,T
ParamProductionCell-PT-5,T,F,T
Parking-PT-104,T,T,F
Parking-PT-208,T,T,F
Parking-PT-416,T,T,F
Parking-PT-432,T,T,F
Parking-PT-832,T,T,F
Parking-PT-864,T,T,F
PermAdmissibility-PT-01,F,F,F
PermAdmissibility-PT-02,F,F,F
PermAdmissibility-PT-05,F,F,F
PermAdmissibility-PT-10,F,F,F
PermAdmissibility-PT-20,F,F,F
PermAdmissibility-PT-50,F,F,F
Peterson-PT-2,T,F,T
Peterson-PT-3,T,F,T
Peterson-PT-4,T,F,T
Peterson-PT-5,T,F,T
Peterson-PT-6,T,F,T
Peterson-PT-7,T,F,T
PGCD-PT-D02N005,F,F,F
PGCD-PT-D02N006,F,F,F
PGCD-PT-D02N100,F,F,F
PGCD-PT-D03N050,F,F,F
PGCD-PT-D04N025,F,F,F
PGCD-PT-D04N050,F,F,F
PGCD-PT-D05N025,F,F,F
PhaseVariation-PT-D02CS010,F,F,F
PhaseVariation-PT-D02CS100,F,F,F
PhaseVariation-PT-D05CS010,F,F,F
PhaseVariation-PT-D05CS100,F,F,F
PhaseVariation-PT-D10CS010,F,F,F
PhaseVariation-PT-D10CS100,F,F,F
PhaseVariation-PT-D20CS010,F,F,F
PhaseVariation-PT-D20CS100,F,F,F
PhaseVariation-PT-D30CS010,F,F,F
PhaseVariation-PT-D30CS100,F,F,F
PhilosophersDyn-PT-03,F,F,F
PhilosophersDyn-PT-10,F,F,F
PhilosophersDyn-PT-20,F,F,F
Philosophers-PT-000005,T,F,T
Philosophers-PT-000010,T,F,T
Philosophers-PT-000020,T,F,T
Philosophers-PT-000050,T,F,T
Philosophers-PT-000100,T,F,T
Philosophers-PT-000200,T,F,T
Philosophers-PT-000500,T,F,T
Philosophers-PT-001000,T,F,T
Philosophers-PT-002000,T,F,T
Philosophers-PT-005000,T,F,F
Philosophers-PT-010000,T,F,F
Planning-PT-none,F,F,F
PolyORBLF-PT-S02J04T06,F,F,F
PolyORBLF-PT-S02J04T08,F,F,F
PolyORBLF-PT-S02J04T10,F,F,F
PolyORBLF-PT-S02J06T06,F,F,F
PolyORBLF-PT-S02J06T08,F,F,F
PolyORBLF-PT-S02J06T10,F,F,F
PolyORBLF-PT-S04J04T06,F,F,F
PolyORBLF-PT-S04J04T08,F,F,F
PolyORBLF-PT-S04J04T10,F,F,F
PolyORBLF-PT-S04J06T06,F,F,F
PolyORBLF-PT-S04J06T08,F,F,F
PolyORBLF-PT-S04J06T10,F,F,F
PolyORBLF-PT-S06J04T04,F,F,F
PolyORBLF-PT-S06J04T06,F,F,F
PolyORBLF-PT-S06J04T08,F,F,F
PolyORBLF-PT-S06J06T04,F,F,F
PolyORBLF-PT-S06J06T06,F,F,F
PolyORBLF-PT-S06J06T08,F,F,F
PolyORBNT-PT-S05J20,F,F,F
PolyORBNT-PT-S05J30,F,F,F
PolyORBNT-PT-S05J40,F,F,F
PolyORBNT-PT-S05J60,F,F,F
PolyORBNT-PT-S05J80,F,F,F
PolyORBNT-PT-S10J20,F,F,F
PolyORBNT-PT-S10J30,F,F,F
PolyORBNT-PT-S10J40,F,F,F
PolyORBNT-PT-S10J60,F,F,F
PolyORBNT-PT-S10J80,F,F,F
ProductionCell-PT-none,T,T,F
QuasiCertifProtocol-PT-02,T,F,F
QuasiCertifProtocol-PT-06,F,F,F
QuasiCertifProtocol-PT-10,F,F,F
QuasiCertifProtocol-PT-18,F,F,F
QuasiCertifProtocol-PT-22,F,F,F
QuasiCertifProtocol-PT-28,F,F,F
QuasiCertifProtocol-PT-32,F,F,F
Raft-PT-02,T,T,F
Raft-PT-03,T,T,F
Raft-PT-04,T,T,F
Raft-PT-05,T,T,F
Raft-PT-06,T,T,F
Raft-PT-07,T,T,F
Raft-PT-08,T,T,F
Raft-PT-09,T,T,F
Raft-PT-10,T,T,F
Railroad-PT-005,T,F,T
Railroad-PT-010,T,F,T
Railroad-PT-020,T,F,T
Railroad-PT-050,T,F,T
Railroad-PT-100,T,F,T
Referendum-PT-0010,T,F,T
Referendum-PT-0015,T,F,T
Referendum-PT-0020,T,F,T
Referendum-PT-0050,T,F,T
Referendum-PT-0100,T,F,T
Referendum-PT-0200,T,F,T
Referendum-PT-0500,T,F,T
Referendum-PT-1000,T,F,T
RefineWMG-PT-002002,F,F,F
RefineWMG-PT-002003,F,F,F
RefineWMG-PT-005005,F,F,F
RefineWMG-PT-005006,F,F,F
RefineWMG-PT-007007,F,F,F
RefineWMG-PT-007008,F,F,F
RefineWMG-PT-010010,F,F,F
RefineWMG-PT-010011,F,F,F
RefineWMG-PT-015015,F,F,F
RefineWMG-PT-015016,F,F,F
RefineWMG-PT-025025,F,F,F
RefineWMG-PT-025026,F,F,F
RefineWMG-PT-050050,F,F,F
RefineWMG-PT-050051,F,F,F
RefineWMG-PT-100100,F,F,F
RefineWMG-PT-100101,F,F,F
RERS17pb113-PT-1,T,T,F
RERS17pb113-PT-2,F,F,F
RERS17pb113-PT-3,F,F,F
RERS17pb113-PT-4,F,F,F
RERS17pb113-PT-5,F,F,F
RERS17pb113-PT-6,F,F,F
RERS17pb113-PT-7,F,F,F
RERS17pb113-PT-8,F,F,F
RERS17pb113-PT-9,F,F,F
RERS17pb114-PT-1,T,T,F
RERS17pb114-PT-2,F,F,F
RERS17pb114-PT-3,F,F,F
RERS17pb114-PT-4,F,F,F
RERS17pb114-PT-5,F,F,F
RERS17pb114-PT-6,F,F,F
RERS17pb114-PT-7,F,F,F
RERS17pb114-PT-8,F,F,F
RERS17pb114-PT-9,F,F,F
RERS17pb115-PT-1,T,T,F
RERS17pb115-PT-2,F,F,F
RERS17pb115-PT-3,F,F,F
RERS17pb115-PT-4,F,F,F
RERS17pb115-PT-5,F,F,F
RERS17pb115-PT-6,F,F,F
RERS17pb115-PT-7,F,F,F
RERS17pb115-PT-8,F,F,F
RERS17pb115-PT-9,F,F,F
RERS2020-PT-pb101,T,T,F
RERS2020-PT-pb102,T,T,F
RERS2020-PT-pb103,T,T,F
RERS2020-PT-pb104,T,T,F
RERS2020-PT-pb105,T,T,F
RERS2020-PT-pb106,T,T,F
RERS2020-PT-pb107,T,T,F
RERS2020-PT-pb108,T,T,F
RERS2020-PT-pb109,T,T,F
ResAllocation-PT-R002C002,T,F,T
ResAllocation-PT-R003C002,T,F,T
ResAllocation-PT-R005C002,T,F,T
ResAllocation-PT-R010C002,T,F,T
ResAllocation-PT-R015C002,T,F,T
ResAllocation-PT-R020C002,T,F,T
ResAllocation-PT-R050C002,T,F,T
ResAllocation-PT-R100C002,T,F,T
ResAllocation-PT-R003C003,T,F,T
ResAllocation-PT-R003C005,T,F,T
ResAllocation-PT-R003C010,T,F,T
ResAllocation-PT-R003C015,T,F,T
ResAllocation-PT-R003C020,T,F,T
ResAllocation-PT-R003C050,T,F,T
ResAllocation-PT-R003C100,T,F,T
Ring-PT-none,T,F,T
RingSingleMessageInMbox-PT-d0m005,F,F,F
RingSingleMessageInMbox-PT-d0m010,F,F,F
RingSingleMessageInMbox-PT-d0m020,F,F,F
RingSingleMessageInMbox-PT-d0m040,F,F,F
RingSingleMessageInMbox-PT-d0m080,F,F,F
RingSingleMessageInMbox-PT-d0m160,F,F,F
RingSingleMessageInMbox-PT-d1m005,F,F,F
RingSingleMessageInMbox-PT-d1m010,F,F,F
RingSingleMessageInMbox-PT-d1m020,F,F,F
RingSingleMessageInMbox-PT-d1m040,F,F,F
RingSingleMessageInMbox-PT-d1m080,F,F,F
RingSingleMessageInMbox-PT-d1m160,F,F,F
RingSingleMessageInMbox-PT-d2m005,F,F,F
RingSingleMessageInMbox-PT-d2m010,F,F,F
RingSingleMessageInMbox-PT-d2m020,F,F,F
RingSingleMessageInMbox-PT-d2m040,F,F,F
RingSingleMessageInMbox-PT-d2m080,F,F,F
RingSingleMessageInMbox-PT-d2m160,F,F,F
RobotManipulation-PT-00001,F,F,F
RobotManipulation-PT-00002,F,F,F
RobotManipulation-PT-00005,F,F,F
RobotManipulation-PT-00010,F,F,F
RobotManipulation-PT-00020,F,F,F
RobotManipulation-PT-00050,F,F,F
RobotManipulation-PT-00100,F,F,F
RobotManipulation-PT-00200,F,F,F
RobotManipulation-PT-00500,F,F,F
RobotManipulation-PT-01000,F,F,F
RobotManipulation-PT-02000,F,F,F
RobotManipulation-PT-05000,F,F,F
RobotManipulation-PT-10000,F,F,F
RwMutex-PT-r0010w0010,T,F,T
RwMutex-PT-r0010w0020,T,F,T
RwMutex-PT-r0010w0050,T,F,T
RwMutex-PT-r0010w0100,T,F,T
RwMutex-PT-r0010w0500,T,F,T
RwMutex-PT-r0010w1000,T,F,T
RwMutex-PT-r0010w2000,T,F,T
RwMutex-PT-r0020w0010,T,F,T
RwMutex-PT-r0100w0010,T,F,T
RwMutex-PT-r0500w0010,T,F,T
RwMutex-PT-r1000w0010,T,F,T
RwMutex-PT-r2000w0010,T,F,T
SafeBus-PT-03,T,F,T
SafeBus-PT-06,T,F,T
SafeBus-PT-10,T,F,T
SafeBus-PT-15,T,F,T
SafeBus-PT-20,T,F,T
SatelliteMemory-PT-X00100Y0003,F,F,F
SatelliteMemory-PT-X01000Y0032,F,F,F
SatelliteMemory-PT-X01500Y0046,F,F,F
SatelliteMemory-PT-X03000Y0094,F,F,F
SatelliteMemory-PT-X65535Y2048,F,F,F
SemanticWebServices-PT-S064P06,F,F,F
SemanticWebServices-PT-S064P09,F,F,F
SemanticWebServices-PT-S064P12,F,F,F
SemanticWebServices-PT-S064P15,F,F,F
SemanticWebServices-PT-S064P18,F,F,F
SemanticWebServices-PT-S128P06,F,F,F
SemanticWebServices-PT-S128P09,F,F,F
SemanticWebServices-PT-S128P12,F,F,F
SemanticWebServices-PT-S128P15,F,F,F
SemanticWebServices-PT-S128P18,F,F,F
SemanticWebServices-PT-S256P06,F,F,F
SemanticWebServices-PT-S256P09,F,F,F
SemanticWebServices-PT-S256P12,F,F,F
SemanticWebServices-PT-S256P15,F,F,F
SemanticWebServices-PT-S256P18,F,F,F
ServersAndClients-PT-100020,T,F,T
ServersAndClients-PT-100040,T,F,T
ServersAndClients-PT-100080,T,F,T
ServersAndClients-PT-100160,T,F,T
ServersAndClients-PT-100320,T,F,T
ServersAndClients-PT-200040,T,F,T
ServersAndClients-PT-200080,T,F,T
ServersAndClients-PT-200160,T,F,T
ServersAndClients-PT-200320,T,F,T
ServersAndClients-PT-400080,T,F,T
ServersAndClients-PT-400160,T,F,T
SharedMemory-PT-000005,T,F,T
SharedMemory-PT-000010,T,F,T
SharedMemory-PT-000020,T,F,T
SharedMemory-PT-000050,T,F,T
SharedMemory-PT-000100,T,F,T
SharedMemory-PT-000200,T,F,T
ShieldIIPs-PT-001A,T,T,F
ShieldIIPs-PT-001B,T,T,F
ShieldIIPs-PT-002A,T,T,F
ShieldIIPs-PT-002B,T,T,F
ShieldIIPs-PT-003A,T,T,F
ShieldIIPs-PT-003B,T,T,F
ShieldIIPs-PT-004A,T,T,F
ShieldIIPs-PT-004B,T,T,F
ShieldIIPs-PT-005A,T,T,F
ShieldIIPs-PT-005B,T,T,F
ShieldIIPs-PT-010A,T,T,F
ShieldIIPs-PT-010B,T,T,F
ShieldIIPs-PT-020A,T,T,F
ShieldIIPs-PT-020B,T,T,F
ShieldIIPs-PT-030A,T,T,F
ShieldIIPs-PT-030B,T,T,F
ShieldIIPs-PT-040A,T,T,F
ShieldIIPs-PT-040B,T,T,F
ShieldIIPs-PT-050A,T,T,F
ShieldIIPs-PT-050B,T,T,F
ShieldIIPs-PT-100A,T,T,F
ShieldIIPs-PT-100B,T,T,F
ShieldIIPt-PT-001A,T,T,F
ShieldIIPt-PT-001B,T,T,F
ShieldIIPt-PT-002A,T,T,F
ShieldIIPt-PT-002B,T,T,F
ShieldIIPt-PT-003A,T,T,F
ShieldIIPt-PT-003B,T,T,F
ShieldIIPt-PT-004A,T,T,F
ShieldIIPt-PT-004B,T,T,F
ShieldIIPt-PT-005A,T,T,F
ShieldIIPt-PT-005B,T,T,F
ShieldIIPt-PT-010A,T,T,F
ShieldIIPt-PT-010B,T,T,F
ShieldIIPt-PT-020A,T,T,F
ShieldIIPt-PT-020B,T,T,F
ShieldIIPt-PT-030A,T,T,F
ShieldIIPt-PT-030B,T,T,F
ShieldIIPt-PT-040A,T,T,F
ShieldIIPt-PT-040B,T,T,F
ShieldIIPt-PT-050A,T,T,F
ShieldIIPt-PT-050B,T,T,F
ShieldIIPt-PT-100A,T,T,F
ShieldIIPt-PT-100B,T,T,F
ShieldPPPs-PT-001A,T,T,F
ShieldPPPs-PT-001B,T,T,F
ShieldPPPs-PT-002A,T,T,F
ShieldPPPs-PT-002B,T,T,F
ShieldPPPs-PT-003A,T,T,F
ShieldPPPs-PT-003B,T,T,F
ShieldPPPs-PT-004A,T,T,F
ShieldPPPs-PT-004B,T,T,F
ShieldPPPs-PT-005A,T,T,F
ShieldPPPs-PT-005B,T,T,F
ShieldPPPs-PT-010A,T,T,F
ShieldPPPs-PT-010B,T,T,F
ShieldPPPs-PT-020A,T,T,F
ShieldPPPs-PT-020B,T,T,F
ShieldPPPs-PT-030A,T,T,F
ShieldPPPs-PT-030B,T,T,F
ShieldPPPs-PT-040A,T,T,F
ShieldPPPs-PT-040B,T,T,F
ShieldPPPs-PT-050A,T,T,F
ShieldPPPs-PT-050B,T,T,F
ShieldPPPs-PT-100A,T,T,F
ShieldPPPs-PT-100B,T,T,F
ShieldPPPt-PT-001A,T,T,F
ShieldPPPt-PT-001B,T,T,F
ShieldPPPt-PT-002A,T,T,F
ShieldPPPt-PT-002B,T,T,F
ShieldPPPt-PT-003A,T,T,F
ShieldPPPt-PT-003B,T,T,F
ShieldPPPt-PT-004A,T,T,F
ShieldPPPt-PT-004B,T,T,F
ShieldPPPt-PT-005A,T,T,F
ShieldPPPt-PT-005B,T,T,F
ShieldPPPt-PT-010A,T,T,F
ShieldPPPt-PT-010B,T,T,F
ShieldPPPt-PT-020A,T,T,F
ShieldPPPt-PT-020B,T,T,F
ShieldPPPt-PT-030A,T,T,F
ShieldPPPt-PT-030B,T,T,F
ShieldPPPt-PT-040A,T,T,F
ShieldPPPt-PT-040B,T,T,F
ShieldPPPt-PT-050A,T,T,F
ShieldPPPt-PT-050B,T,T,F
ShieldPPPt-PT-100A,T,T,F
ShieldPPPt-PT-100B,T,T,F
ShieldRVs-PT-001A,T,T,F
ShieldRVs-PT-001B,T,T,F
ShieldRVs-PT-002A,T,T,F
ShieldRVs-PT-002B,T,T,F
ShieldRVs-PT-003A,T,T,F
ShieldRVs-PT-003B,T,T,F
ShieldRVs-PT-004A,T,T,F
ShieldRVs-PT-004B,T,T,F
ShieldRVs-PT-005A,T,T,F
ShieldRVs-PT-005B,T,T,F
ShieldRVs-PT-010A,T,T,F
ShieldRVs-PT-010B,T,T,F
ShieldRVs-PT-020A,T,T,F
ShieldRVs-PT-020B,T,T,F
ShieldRVs-PT-030A,T,T,F
ShieldRVs-PT-030B,T,T,F
ShieldRVs-PT-040A,T,T,F
ShieldRVs-PT-040B,T,T,F
ShieldRVs-PT-050A,T,T,F
ShieldRVs-PT-050B,T,T,F
ShieldRVs-PT-100A,T,T,F
ShieldRVs-PT-100B,T,T,F
ShieldRVt-PT-001A,T,T,F
ShieldRVt-PT-001B,T,T,F
ShieldRVt-PT-002A,T,T,F
ShieldRVt-PT-002B,T,T,F
ShieldRVt-PT-003A,T,T,F
ShieldRVt-PT-003B,T,T,F
ShieldRVt-PT-004A,T,T,F
ShieldRVt-PT-004B,T,T,F
ShieldRVt-PT-005A,T,T,F
ShieldRVt-PT-005B,T,T,F
ShieldRVt-PT-010A,T,T,F
ShieldRVt-PT-010B,T,T,F
ShieldRVt-PT-020A,T,T,F
ShieldRVt-PT-020B,T,T,F
ShieldRVt-PT-030A,T,T,F
ShieldRVt-PT-030B,T,T,F
ShieldRVt-PT-040A,T,T,F
ShieldRVt-PT-040B,T,T,F
ShieldRVt-PT-050A,T,T,F
ShieldRVt-PT-050B,T,T,F
ShieldRVt-PT-100A,T,T,F
ShieldRVt-PT-100B,T,T,F
SieveSingleMsgMbox-PT-d0m04,F,F,F
SieveSingleMsgMbox-PT-d0m06,F,F,F
SieveSingleMsgMbox-PT-d0m18,F,F,F
SieveSingleMsgMbox-PT-d0m36,F,F,F
SieveSingleMsgMbox-PT-d0m64,F,F,F
SieveSingleMsgMbox-PT-d0m96,F,F,F
SieveSingleMsgMbox-PT-d1m04,F,F,F
SieveSingleMsgMbox-PT-d1m06,F,F,F
SieveSingleMsgMbox-PT-d1m18,F,F,F
SieveSingleMsgMbox-PT-d1m36,F,F,F
SieveSingleMsgMbox-PT-d1m64,F,F,F
SieveSingleMsgMbox-PT-d1m96,F,F,F
SieveSingleMsgMbox-PT-d2m04,F,F,F
SieveSingleMsgMbox-PT-d2m06,F,F,F
SieveSingleMsgMbox-PT-d2m18,F,F,F
SieveSingleMsgMbox-PT-d2m36,F,F,F
SieveSingleMsgMbox-PT-d2m64,F,F,F
SieveSingleMsgMbox-PT-d2m96,F,F,F
SimpleLoadBal-PT-02,T,F,T
SimpleLoadBal-PT-05,T,F,T
SimpleLoadBal-PT-10,T,F,T
SimpleLoadBal-PT-15,T,F,T
SimpleLoadBal-PT-20,T,F,T
SmallOperatingSystem-PT-MT0016DC0008,F,F,F
SmallOperatingSystem-PT-MT0032DC0008,F,F,F
SmallOperatingSystem-PT-MT0032DC0016,F,F,F
SmallOperatingSystem-PT-MT0064DC0016,F,F,F
SmallOperatingSystem-PT-MT0064DC0032,F,F,F
SmallOperatingSystem-PT-MT0128DC0032,F,F,F
SmallOperatingSystem-PT-MT0128DC0064,F,F,F
SmallOperatingSystem-PT-MT0256DC0064,F,F,F
SmallOperatingSystem-PT-MT0256DC0128,F,F,F
SmallOperatingSystem-PT-MT0512DC0128,F,F,F
SmallOperatingSystem-PT-MT0512DC0256,F,F,F
SmallOperatingSystem-PT-MT1024DC0256,F,F,F
SmallOperatingSystem-PT-MT1024DC0512,F,F,F
SmallOperatingSystem-PT-MT2048DC0512,F,F,F
SmallOperatingSystem-PT-MT2048DC1024,F,F,F
SmallOperatingSystem-PT-MT4096DC1024,F,F,F
SmallOperatingSystem-PT-MT4096DC2048,F,F,F
SmallOperatingSystem-PT-MT8192DC2048,F,F,F
SmallOperatingSystem-PT-MT8192DC4096,F,F,F
SmartHome-PT-01,T,T,F
SmartHome-PT-02,T,T,F
SmartHome-PT-03,T,T,F
SmartHome-PT-04,T,T,F
SmartHome-PT-05,T,T,F
SmartHome-PT-06,T,T,F
SmartHome-PT-07,T,T,F
SmartHome-PT-08,T,T,F
SmartHome-PT-09,T,T,F
SmartHome-PT-10,T,T,F
SmartHome-PT-11,T,T,F
SmartHome-PT-12,T,T,F
SmartHome-PT-13,T,T,F
SmartHome-PT-14,T,T,F
SmartHome-PT-15,T,T,F
SmartHome-PT-16,T,T,F
SmartHome-PT-17,T,T,F
SmartHome-PT-18,T,T,F
SmartHome-PT-19,T,T,F
Solitaire-PT-SqrNC5x5,T,F,T
Solitaire-PT-SqrCT5x5,F,F,F
Solitaire-PT-EngNC7x7,T,F,T
Solitaire-PT-EngCT7x7,F,F,F
Solitaire-PT-FrnNC7x7,T,F,T
Solitaire-PT-FrnCT7x7,F,F,F
SquareGrid-PT-020102,F,F,F
SquareGrid-PT-040204,F,F,F
SquareGrid-PT-080408,F,F,F
SquareGrid-PT-100510,F,F,F
SquareGrid-PT-130613,F,F,F
StigmergyCommit-PT-02a,T,T,F
StigmergyCommit-PT-02b,T,T,F
StigmergyCommit-PT-03a,T,T,F
StigmergyCommit-PT-03b,T,T,F
StigmergyCommit-PT-04a,T,T,F
StigmergyCommit-PT-04b,T,T,F
StigmergyCommit-PT-05a,T,T,F
StigmergyCommit-PT-05b,T,T,F
StigmergyCommit-PT-06a,T,T,F
StigmergyCommit-PT-06b,T,T,F
StigmergyCommit-PT-07a,T,T,F
StigmergyCommit-PT-07b,T,T,F
StigmergyCommit-PT-08a,T,T,F
StigmergyCommit-PT-08b,T,T,F
StigmergyCommit-PT-09a,T,T,F
StigmergyCommit-PT-09b,T,T,F
StigmergyCommit-PT-10a,T,T,F
StigmergyCommit-PT-10b,T,T,F
StigmergyCommit-PT-11a,T,T,F
StigmergyCommit-PT-11b,T,T,F
StigmergyElection-PT-02a,T,T,F
StigmergyElection-PT-02b,T,T,F
StigmergyElection-PT-03a,T,T,F
StigmergyElection-PT-03b,T,T,F
StigmergyElection-PT-04a,T,T,F
StigmergyElection-PT-04b,T,T,F
StigmergyElection-PT-05a,T,T,F
StigmergyElection-PT-05b,T,T,F
StigmergyElection-PT-06a,T,T,F
StigmergyElection-PT-06b,T,T,F
StigmergyElection-PT-07a,T,T,F
StigmergyElection-PT-07b,T,T,F
StigmergyElection-PT-08a,T,T,F
StigmergyElection-PT-08b,T,T,F
StigmergyElection-PT-09a,T,T,F
StigmergyElection-PT-09b,T,T,F
StigmergyElection-PT-10a,T,T,F
StigmergyElection-PT-10b,T,T,F
StigmergyElection-PT-11a,T,T,F
StigmergyElection-PT-11b,T,T,F
Sudoku-PT-AN01,T,F,T
Sudoku-PT-AN02,T,F,T
Sudoku-PT-AN03,T,F,T
Sudoku-PT-AN04,T,F,T
Sudoku-PT-AN05,T,F,T
Sudoku-PT-AN06,T,F,T
Sudoku-PT-AN07,T,F,T
Sudoku-PT-AN08,T,F,T
Sudoku-PT-AN09,T,F,T
Sudoku-PT-AN10,T,F,T
Sudoku-PT-AN11,T,F,T
Sudoku-PT-AN12,T,F,T
Sudoku-PT-AN13,T,F,T
Sudoku-PT-AN14,T,F,T
Sudoku-PT-AN15,T,F,T
Sudoku-PT-AN16,T,F,T
Sudoku-PT-BN01,T,F,T
Sudoku-PT-BN04,T,F,T
Sudoku-PT-BN09,T,F,T
Sudoku-PT-BN16,T,F,T
SwimmingPool-PT-01,F,F,F
SwimmingPool-PT-02,F,F,F
SwimmingPool-PT-03,F,F,F
SwimmingPool-PT-04,F,F,F
SwimmingPool-PT-05,F,F,F
SwimmingPool-PT-06,F,F,F
SwimmingPool-PT-07,F,F,F
SwimmingPool-PT-08,F,F,F
SwimmingPool-PT-09,F,F,F
SwimmingPool-PT-10,F,F,F
Szymanski-PT-a02,F,F,F
Szymanski-PT-a04,F,F,F
Szymanski-PT-a06,F,F,F
Szymanski-PT-a08,F,F,F
Szymanski-PT-a10,F,F,F
Szymanski-PT-a12,F,F,F
Szymanski-PT-b02,F,F,F
Szymanski-PT-b04,F,F,F
Szymanski-PT-b06,F,F,F
Szymanski-PT-b08,F,F,F
Szymanski-PT-b10,F,F,F
Szymanski-PT-b12,F,F,F
TCPcondis-PT-05,F,F,F
TCPcondis-PT-10,F,F,F
TCPcondis-PT-15,F,F,F
TCPcondis-PT-20,F,F,F
TCPcondis-PT-25,F,F,F
